"","x"
"26","We're drinking our brand new VIA French Roast today. Just like French Roast, but in an instant - Faster than you can say, ""Pepe Le Pew"" ... What's in your cup?"
"27","Artisan breakfast sandwiches are just $2 with any beverage purchase from January 4th-10th at participating US stores.
What's your choice? 

Veggie, egg and monterey jack - OR - applewood smoked bacon, egg and gouda??
"
"28","1/1/11 - Happy New Year! What is your resolution?"
"29","Happy New Year! 2010 was a ton of fun. Here's to a great 2011! Auld Lang Syne - from the top!"
"30","Have you texted ""JOIN"" to 94590 or signed up online to start earning your rewards at Starbucks??"
"31","Ice cream can keep you warm in the winter. Try the Signature Hot Chocolate or our special limited edition Peppermint Mocha, available where you buy groceries. 

What’s your favorite?"
"32","Did Santa put a Starbucks Card in your stocking? How thoughtful! Don't forget to register it for great benefits. We will even give you a free drink on your birthday!"
"33","Merry Christmas! Have a great day with family and friends. (if santa didn't bring you any coffee, limited stores are open)"
"34","Need a last minute gift? Pick up a 12-pack of VIA today and get a free $5 Starbucks card. Or, leave some VIA out for Santa. I bet he could use some coffee to go with all that milk. (US/Canada)"
"35","Looking for stocking stuffers? Get a free $5 Starbucks Card when you buy a 12-pack of Starbucks VIA Tuesday or Wednesday. That's coffee for all of the stockings, or …
enough coffee to get you through last-minute shopping with a Starbucks Card, to boot. (U.S./Canada) "
"36","Don't forget – this weekend, stop by and pick up a cd, we'll throw in a free $5 Starbucks Card! http://sbux.co/ehou1A (US/Canada)"
"37","*psssst* A little birdie just told me a secret ... Get a free $5 Starbucks Card when you buy a CD this Saturday and Sunday. Music and a Starbucks Card for the trip to Grandma's next week bring ""A Charlie Brown Christmas,"" ""Jolly Old Soul"" or ""Sleigh Ride"" over the river and through the woods! (U.S./Canada only)"
"38","Stories are gifts to be shared. When he was younger, artist Brady Smith received a blank sketchbook as a gift. His life was never the same after that."
"39","Say hello to Huxley!"
"40","The final day of the 12 Days of Sharing is upon us. On Sunday, pick up a festival Holiday mug for $6.99. ""... and a partridge in a pear tree."" (see, just like the song!)"
"41","Two days left in our 12 Days of Sharing. On Saturday, get 1 lb Christmas Blend or any 12-pack of Starbucks VIA for $7.95! (US only, Quantities limited, participating stores only)"
"42","Need to bring a treat to your holiday party? Stop by on Friday and get a Cranberry Bliss Bar Gift Pack for 50% off. You'll be the hero! Friday is Day 10 of the 12 Days of Sharing! (US)"
"43","On the 9th day of Sharing, your true love bought a 12-pack of VIA and you received a free $5 Starbucks Card! ... That was so nice of them! {Thursday only! US/Canada}"
"44","Wednesday's 12 Days of Sharing: Like our red cups? Get a reusable one! Red cup Tumblers are $6.99 and our red cup mugs are $3.99 ... Wednesday only (US/Canada)."
"45","Tuesday is the 7th of 12 Days of Sharing. Buy a 16oz VIA Tumbler and we'll give you a 6-pack of Flavored VIA Coffee for free! Only drinking hot water out of your new tumbler wouldn't be nearly as delicious."
"46","Bad news: the weekend is over and tomorrow is Monday. Good news: If you come into a Starbucks and buy 1lb of coffee tomorrow, we'll throw in a free $5 Starbucks Card. It's day 6 of the 12 Days of Sharing."
"47","Sunday's 12 Days of Sharing item is a Frosted Starbucks Tumbler for $6.99. Save a paper cup and keep your drink (and paws) warm."
"48","On Saturday, buy a Coffee & Treats gift pack for only $8.99. A half pound of  Christmas Blend and a package of Biscotti. Now the only question is this, do you dip your biscotti in your coffee?"
"49","On the 3rd day of Sharing ... Buy one 12-pack of Starbucks VIA, get one free! It isn't 3 French hens, but it will probably be easier to get through airport security with."
"50","The 12 Days of Sharing continues on Thursday! Buy 1 pound of Christmas Blend, get 1 free (US/Canada). Share the other pound with your hairdresser, mailman, neighbor, professor, friend, frenemy, mom, dad, teacher, gingerbread man, acupuncturist, bellhop ... or ... _________(?)."
"51","In addition to contributing for every handcrafted beverage sold today to the Global Fund, check out this exclusive video from the Killers for their (RED)  holiday song 'Boots.' For every play we'll contribute 5 cents to the Global Fund to help fight AIDS in Africa. Together, we can make a difference."
"52","Tomorrow is the first day of the 12 Days of Sharing. It is also World AIDS Day. The first day is about how together, we can make a difference. Tomorrow, we will donate 5 cents from each handcrafted beverage to (RED)  and the Global Fund. Last year nearly 12 million babies were born with HIV. By 2015, that number could be zero."
"53","Have a coffee lover on your list? How about a year of their favorite seasonal coffees direct to their doorstep? (or ... maybe that coffee lover is you?)"
"54","Happy Thanksgiving! Most stores are open, but closing early. Enjoy the day!"
"55","Traveling to see family today? You'll be thankful to have VIA Christmas Blend if you're stuck in a plane, train or automobile ... (or a boat, bike, scooter or hoverboard)."
"56","Before it's all gone, don't forget to pick up a pound of Thanksgiving Blend for Thursday. It was blended to pair perfectly with Thanksgiving Dinner!"
"57","Just bought a Gingerbread Latte with a friend. Buy one Holiday drink, get one free! Through Sunday, 2-5pm in the US + Canada!"
"58","Take an afternoon break and surprise a friend! From tomorrow until the 21st, 2-5pm in the US and Canada. Buy 1 Holiday drink, get 1 free! "
"59","What is your wish for the holidays?  Share it with us: http://starbucks.com/share"
"60","Tomorrow, the holidays officially begin at Starbucks. Can't wait to share more, but first - take a look at our new video. Who doesn't like flying kites?! You know when the holidays are here, snow and red cups.
(The song is called ""Snow Day"" from matt pond PA)."
"61","Eggnog is to latte as ___________ is to __________."
"62","We're big fans of the new band Fistful of Mercy, comprising Ben Harper, Dhani Harrison and Joseph Arthur. They played last night in Seattle and Holly and Kelly from the Starbucks music team had the opportunity to meet them. Check them out here: http://fistfulofmercy.com/"
"63","Change Your Facebook Background!
http://tinyurl.com/changeyourbackground321"
"64","Gobble, gobble! Thanksgiving Blend is back! Goes equally great with Thanksgiving dinner and Monday mornings."
"65","We're proud to support coffee farmers across the world. Baristas from Europe visited coffee farms in Tanzania to see for themselves. Check out this great article."
"66","Be sure to check in at Starbucks next time you're in! You can earn a Foursquare badge, virtual gifts to share with your friends on Facebook and even help save forest land! Check out this blog post for more info."
"67","Entering college this fall? Every year since 1998, Beloit College has released the Beloit College Mindset List. A list of cultural happenings for their college Freshman. Starbucks made the list this year - 
#7: “Caramel macchiato” and “venti half-caf vanilla latte” have always been street corner lingo.

If you already went through college, this list will just make you feel old."
"68","Oh cool, Taylor Swift stopped by a Starbucks in New York to pick up her new album! Hi Taylor!"
"69","Here is one way to make your loved one smile! Happy weekend!"
"70","The Starbucks Digital Network, in partnership with Yahoo!  is launching today. It has an exclusive clip from the new movie, Waiting for Superman, free exclusive tracks from Ben Harpers new band, Fistful of Mercy and read from Anita Shreve's new book, Rescue. Learn more about this on MyStarbucksIdea. Enjoy!"
"71","We've launched 100 of your ideas on MyStarbucksIdea! Click here to see all of them! We can't wait to launch another 100. Keep the ideas coming!"
"72","Did you forget a birthday? Maybe you just want to say hi? Now you can send a gift to your friend without leaving Facebook. (Be sure to load the app, otherwise you can't get a gift!)"
"73","If you're reading this at a Starbucks and you're looking at Facebook instead of ""studying"" or ""working"". It's cool, we won't tell anyone. Enjoy your coffee!"
"74","Want to try our new Starbucks VIA Flavored Coffee? We need to test your memory first. Literally. (1st place = 26.12 seconds right now! Can you beat that?)"
"75","We're proud to now offer The Wall Street Journal in store alongside our other newspapers.  Buy the WSJ Weekend paper with your coffee and learn how to write like a cartoonist, read about biodynamic wine and find out how to pick the right Tuxedo."
"76","Want a free tall drink? Pick up a 6 pack of Starbucks VIA Flavored Coffee today until Saturday. We'll give you a free tall beverage to drink now! (US and Canada only)"
"77","Introducing Starbucks VIA Flavored Coffee - A lot goes into the instant it takes to make it. Thankfully we do all the work ... all you need is a cup and hot water!"
"78","So - a Pumpkin walks into a Starbucks and says, "" ____________."""
"79","October is Fair Trade month. To celebrate, Starbucks is brewing Fair Trade Certified Cafe Estima Blend in store, from October 5th-17th. Enjoy!"
"80","Curious how we made Starbucks Natural Fusions? Read 'Behind the Flavors' on our blog, like 'Behind the Music', but with less cowbell."
"81","We're really excited to offer the new album from the Zac Brown Band called, 'You Get What You Give'. Curious what they sound like? Check out this video from a recent concert at Red Rocks. Enjoy!"
"82","Think you know everything about the Pumpkin Spice Latte? Trivia time!"
"83","Meet Charles. He's a big fan of the Pumpkin Spice Latte at Starbucks and he really wants to talk to you about it."
"84","'Wake Up!' the new album, from John Legend and The Roots is in Starbucks nationwide this week! Check out some behind the scenes footage."
"85","Like Pumpkin Spice Latte?  Love Pumpkin Spice Latte?  Show us your love for PSL!  Check out our latest blog post on MyStarbucksIdea.com."
"86","Yum yum - the new Toffee Mocha! Its yummy quotient is off the charts."
"87","哈囉,星巴克台灣的朋友們，除了星巴克全球粉絲網頁之外，台灣的星巴克咖啡同好會也已經成立了喔，一起加入吧!"
"88","Now is a great time to register your Starbucks card. Did you know that you can do it from within Facebook? Other things we're working on within Facebook include, but not limited to, the ability to buy your friend a drink, serving you coffee and doing your laundry. One of these will come true, very soon."
"89","Welcome to Monday / Love the Pumpkin Spice Latte? / Write us a haiku 
Check out our latest blog post on http://MyStarbucksIdea.com"
"90","Galapagos San Cristobal is going quickly. If you don't pick it up soon, it won't be available until next time! This coffee is almost as unique as Lonesome George the Tortoise from the Galapagos Islands (http://sbux.co/don5Zv). Find a store that sells Starbucks Reserve here: http://sbux.co/aToQFZ"
"91","Hey Blackberry users, we've released Starbucks Card Mobile for you! Pay for your drink at over 1000 stores with your phone. Text the word “GO” to 70845 to get the link to download."
"92","My Starbucks Rewards are now available at 2,600 more locations! Learn more in this blog post."
"93","Rachel Flotard of Visqueen, a Seattle rock band, draws inspiration from her father and cups of Pike Place<U+2122> Roast."
"94","The rumors are true! The Pumpkin Spice Latte is back! It's not on the menu yet, but you can order one today! No secret handshake required."
"95","Want to win coffee and an espresso machine for your house? StarbucksStore.com is giving one away ... (barista not included)"
"96","The five year anniversary of Hurricane Katrina is approaching next week. We're committed to continue helping this region rebuild. Hear Jennifer's New Orleans Story. She's a field implementation manager from Louisiana and was a District Manager during the storm."
"97","Check this out: starting today, Pick of the Week is now available digitally in select Starbucks stores!  No card required.  Run to Starbucks, hop on free Wi-Fi and download this week's pick, Eddie Vedder's ""Better Days"" for free on iTunes right now."
"98","We're really excited to launch Starbucks Reserve Coffees in the US. Starting on August 31st try this rare coffee, Galapagos San Cristobal in 600 stores. Even better, try it today by ordering online. It has a unique taste with hints of herbs, soft cocoa and spice."
"99","The votes are in! We're honored to announce that we've been voted #1 Best Coffee from Zagat. Thanks everyone!"
"100","The Starbucks Digital Network is coming this fall. It will feature free access to a collection of premium content through our free wifi. Check out more previously unannounced details from the Mashable article."
"101","Ack! Turtles are invading!"
"102","Did your cold cup lose it's straw? We heard lots of posts online about people looking for replacements, so we made them available online. enjoy!"
"103","How long is your drink order? Is quick to say like a solo espresso? Or is it a half decaf, triple grande hazelnut, soy, extra foam, extra hot, caramel drizzle, latte?"
"104","How long is your drink order? Is quick to say like a solo espresso? Or is it a half decaf, triple grande vanilla, soy, extra foam, extra hot, caramel drizzle, latte?"
"105","Vanilla, Chocolate or Strawberry are our new coffee-free Starbucks Ice Cream flavors.  Find out which flavor fits your personality by taking the Find Your Flavor quiz."
"106","Want to see a Veggie Breakfast Sandwich added to our menu?  We're looking at two varieties - Cheese & Veggie or Eggs Florentine.  Tell us which one you'd like on MyStarbucksIdea.com."
"107","Haven't tried Iced VIA yet?  StarbucksStore.com is offering Free Shipping until August 30th.  Keep it cool!"
"108","Are you 1 in a million??

Congratulations and Thank You to our 1 MILLION Gold level members in My Starbucks Rewards!!!  Track your rewards within Facebook and share your level with us."
"109","Gazebo Blend is back for the 20th year! What was on the radio in the summer of 1990? 

... Bell Biv Devoe, Wilson Phillips and Michael Bolton. 
(Gazebo Blend goes well with music from 2010 too.)"
"110","Hear Sheryl Crow talk about her newest album, '100 Miles to Memphis'. 12 soul filled tracks that will remind you of Curtis Mayfield, Aretha Franklin and Marvin Gaye. Enjoy!"
"111","This summer is sponsored by the number '2'. After 2pm, bring in your receipt from the morning for a $2 iced grande drink. (optional: bring 2 friends with you to double the fun)

Want to learn more about the number 2? Take it away, Wikipedia: http://en.wikipedia.org/wiki/2_%28number%29"
"112","Behind every cup of coffee is a story. From bean to cup follow the journey your Starbucks coffee travels."
"113","Hey 10 million people, we LIKE you too!!!"
"114","Congratulations to our friends from Starbucks Nederland and Starbucks Espana for their teams making the World Cup Finals!"
"115","You know what we Like. Free wifi!
Hey US and Canada, did you enjoy free one click wifi from one of our stores today?"
"116","We're proud to roll out recycling and composting bins in Seattle area stores. You can also find these in San Francisco and Toronto, with other major cities coming soon. We're working with cities and recyclers to roll this out to our stores worldwide by 2015. Want to read more about what we're doing to reduce our footprint? http://starbucks.com/Responsibility"
"117","Iced VIA is in stores today! It's proportioned for a 16oz water bottle and pre-sweetened. Very easy to make great iced coffee on the go. Tastes like summer."
"118","Starting tomorrow you can now find Jamaica Blue Mountain coffee at limited stores with Clover brewers. We've only offered this a couple times before in our history and are really excited to share this special coffee with you!

Want to find out more or see photos of coffee barrels? see here: http://bit.ly/JamaicaBlueMountain ... Store locator to find a Clover in your neighborhood: http://www.starbucks.com/store-locator"
"119","If you missed Sarah McLachlan's live performance yesterday, good news! You're in luck, we've put it on our YouTube channel for you to enjoy. Starting July 1st, enjoy a HD version of her performance exclusively through the Starbucks Digital Network."
"120","In just over an hour (noon PST / 3pm EST), we're streaming Sarah McLachlan live from our headquarters in Seattle, powered by Ustream. She's taking requests from Facebook. What do you want to hear? http://starbucks.com/live"
"121","We're really excited - tomorrow at noon PST and 3pm EST, Sarah McLachlan is playing live at our offices in Seattle. We're broadcasting it live, powered by Ustream, so you can watch too! Go to http://starbucks.com/live or our Facebook page to watch. If you have a question or song request for Sarah, let us know!"
"122","Hey Dads ... Happy Fathers Day!"
"123","Summer officially starts on Monday at 3:28am PST/6:28am EST! Not coincidentally, Iced VIA is coming shortly afterwards. It's presweetened and ready to go in a 16oz bottle of water. Goes perfect with flip flops, sun tan lotion and beaches."
"124","We've partnered with the great people at the betacup to crowd-source more sustainable cup solutions. People from around the world submited their ideas and solutions for new cups. Watch the live announcement of the winners right now: http://www.livestream.com/thebetacup"
"125","Great news ... We're very excited to announce that on July 1st we're introducing free. 1 click. No registration WIFI at all US locations!"
"126","Football Fever! Join (RED) & Yahoo! reach $100,000 to fight AIDS in Africa. Tomorrow only. Every goal counts. Starbucks is a proud partner of (PRODUCT)RED<U+2122> http://bit.ly/bPoVDG"
"127","You scream, I scream, we all scream for ice cream! We now have three delicoius coffee-free ice cream flavors available in the grocery store ... Vanilla Bean FrappuccinoR, Signature Hot Chocolate and Strawberries & Creme FrappuccinoR."
"128","Have you downloaded the Frappuccino Music mix, yet? How about 10 free songs on iTunes to enjoy with your next Starbucks Frappuccino? The free mix features Goldfrapp, Black Rebel Motorcycle Club and more. Enjoy! (US and Canada customers only) http://frappuccino.com/iTunes"
"129","MacGruber is all about the large Tazo Tea!"
"130","What does your mug say about you? Make a mug and personalize it with photos from your Facebook profile. Better yet, get $1 off your next purchase of Starbucks VIA!"
"131","How do you make a Starbucks Frappuccino any better? How about 10 free songs on iTunes! The free mix features Goldfrapp, Black Rebel Motorcycle Club and more. Enjoy! (US and Canada customers only)"
"132","Lilith Fair is back in 2010 and they want to give Starbucks fans 2-1 tickets! Use the keyword, 'coffee' to redeem. Have fun at the show!"
"133","Starbucks is a proud partner of (RED). Watch ‘The Lazarus Effect’ film from  (RED) & HBO. See the power of 2 lifesaving pills that cost around 40 cents a day. Premieres Today, Monday May 24 on HBO, YouTube & Channel 4 (UK).  #lazaruseffect"
"134","Ever dreamed of having a Starbucks in your house? Well, now you can. Enter to win a Kitchen Makeover with a year supply of coffee and various coffee brewers!    (note: barista not included, US only)"
"135","Hey all you foursquare mayors of Starbucks!  Show the barista you're the mayor and get $1 off a however-you-want-it Starbucks Frappuccino.  Any size, any flavor until 6/28.  Let the ousting begin!"
"136","Go Venti or go home!  Last day of Starbucks Frappuccino Happy Hour.  3-5 p.m. get a However-You-Want-It Frappuccino for half price. www.Frappuccino.com."
"137","It's the last two days of Starbucks Frappuccino Happy Hour!  From 3-5 p.m. get a half price Frappuccino However-You-Want-It. {US + Canada}  Have you found your favorite yet?"
"138","Starting this Friday off right... enjoying a song from the new Band of Horses album, Infinite Arms.  It makes me want to take a weekend road trip.  Their album will be in stores on Tuesday, May 18th."
"139","Looks like 'Know It All' started it all!  Check out our new TV commercial for Starbucks VIAR which is now available where you buy groceries. Can you guess whose voice is in the commerical?"
"140","Alistair from the digital team couldn't wait for Frappuccino Happy Hour. (deets: Half Price Frappuccino in the US and Canada, 3-5pm until 5/16) http://frappuccino.com"
"141","Josh Ritter recently visited us at the Starbucks Headquarters to play us some new songs from his album, ""So Runs the World Away."" It was really great. Thankfully we brought along a couple cameras so we could share it with you too. If you enjoy it as much as we did, you can pick up his album next time you're in a Starbucks."
"142","It's Happy Hour! From 3-5pm today, and every afternoon until May 16th, you can get a brand new however-you-want-it Starbucks Frappuccino! (US + Canada only)"
"143","It's Happy Hour at Starbucks! Starting tomorrow you can try our brand new however-you-want-it Starbucks Frappuccino for half price! Come in between 3-5pm from May 7th - May 16th. How are you going to customize your Frappuccino?"
"144","We're so excited to launch our new however-you-want-it Starbucks Frappuccino! Check out the brand new Frappuccino.com to find out all the new ways you can customize your Frappuccino."
"145","OMG! Gossip Girl + Starbucks Frappuccino ! 
Show your love and create a GG/Frappuccino Blend Up for a chance to win a
 trip to the set!  You know you love it!!! xoxo"
"146","Do you love the Dixie Chicks? Check out Martie & Emilys new band, the Courtyard Hounds. Find the album in Starbucks on Tuesday, May 4th."
"147","We're really excited to announce that you can now manage your Starbucks Card  on Facebook! It's easy to register your Starbucks Card, reload or check how many Stars you've earned. Go here to see it: http://www.facebook.com/Starbucks?v=app_338375791266"
"148","Our goal is that 100% of our cups will be recyclable or reusable by 2015. In many communities we cannot recycle our cups because of unique local infrastructures. Our goal is to help solve the problem by looking at the big picture. Check out the video to see what we've done and what we're trying to do."
"149","This weeks Bold coffee of the week is Sumatra, our most popular single origin coffee. It has virtually no acidity and a great earthy taste. It's also the last coffee of our Bold Coffee promotion. Which of the 8 coffees were your favorite?"
"150","Have you heard the exciting news about our new however-you-want-it Starbucks Frappuccino's? We've already started serving it in many markets. Check out this great blog post from MyStarbucksIdea.com for more info."
"151","In 4 hours we're having a cup summit at MIT. Join us in a live chat on Ustream at 4pm EST/1pm PST here: http://starbucks.com/cupsummit2010 ... We’re including city recyclers, government leaders, raw material suppliers, NGOs, academic experts, cup manufacturers, and other retail and beverage businesses. We want to have an open and honest discussion about the entire paper and plastic cup ecosystem. We believe waste from the paper cup can be considerably reduced if we all work together on this issue."
"152","The Bold Coffee this week is Gold Coast Blend. We created this blend to celebrate our entrance into the Chicago market. This is the biggest and boldest blend we have. You might be able to say ... it's our coffee for rock stars."
"153","Curious about our coffee buying practices, what we're doing for the environment, and our local communities? We've just released the 2009 Starbucks Shared Planet Goals and Progress report, our 9th annual. Take a look ..."
"154","The Bold Coffee this week is Cafe Estima Blend. It is 100% Fair Trade Certified and 100% awesome. Its name means ""respect"", and its goal is to do good things for the farmers growing it."
"155","Today is the big day ... bring in a reusable travel mug and we'll fill it with brewed coffee for free. Together, we can save forests. Also, our featured bold coffee is Cafe Estima and is 100% Fair Trade Certified coffee. Its name means ""respect"", and its goal is to do good things for the farmers growing it."
"156","About a month ago, we had New Yorkers trade in their paper cups for a reusable mug. This Thursday we're doing that in Starbucks all over the world, bring in a reusable mug and we'll fill it with brewed coffee for free. 

Like the music? The band is called 'The Drums' from Brooklyn, not too far from where we made the tree. http://starbucks.com/thebigpicture"
"157","This week, our Bold Coffee is Cafe Estima. It is 100% Fair Trade Certified coffee. The name means ""respect"", and its goal is to do good things for the farmers growing it. This is a full-bodied, well-balanced coffee with great versatility. From Latin America and East Africa, this coffee shows just how delicious it can be to turn beliefs into action."
"158","This Thursday - bring in a reusable tumbler and we'll fill it with brewed coffee for free. If we all make the switch from paper cups, we'll make a difference. One person can save trees, together we can save forests. Go here: http://www.starbucks.com/thebigpicture to learn more about the impact we can make together."
"159","Another day in the cupping room. Just walked by, saw this and had to take a photo. It smelled amazing. The coffee quality team tastes thousands of cups of coffee a year to ensure the highest quality cup ends up in your cup."
"160","Caffe Verona is the coffee of love. It's spring time ... how about sharing a cup of Verona with your sweetie?"
"161","Radio Arte is on the air. This bilingual public radio station is giving young people in Chicago the chance to tell their stories.

In 2009, Starbucks helped Radio Arte provide 60 students with the opportunity to be creative, responsible journalists, empowering themselves and their community."
"162","We're halfway through our 8 week bold coffee journey. Which one is your favorite so far? Be sure to try the Komodo Dragon today or tomorrow!"
"163","A couple weeks ago, Jakob Dylan, Neko Case and Kelly Hogan stopped by to play for us in the Creative Studio. It was really great. We took some video and would love to share with you.
Pick up their new album, ""Women and Country"" in our stores next Tuesday."
"164","We're excited to announce that we've listened to your request for more sizes. This fall, order the Plenta<U+2122> and Micra<U+2122> in U.S. and Canadian stores."
"165","Awesome news for iPhone users in the US ... We're happy to announce that starting today, at all 1,000 Starbucks locations inside Target stores, you can pay with the Starbucks Mobile Card app (http://bit.ly/dr9ZLz)."
"166","Komodo Dragon is a spicy coffee. It's assertive. Just like a Dragon."
"167","Bold Coffee can both taste and feel delicious. (STARBUCKS) RED = 5 cents contributed to help fight AIDS in Africa."
"168","Hey! It's Free Pastry Day now until 10:30am in the US and Canada. We only have limited amounts in each store, so don't procrastinate! Click the link below to get the coupon. You can either print or show on your mobile device."
"169","woo-hoo! Tomorrow is Free Pastry Day in the US and Canda. See you there!"
"170","Where are you going to be on Tuesday morning?"
"171","We're picking Italian Roast in our brackets. It's a #1 seed."
"172","Happy Friday! We can wait until the the weekend is over because next Tuesday is Free Pastry Day at all Starbucks in the US and Canada. If you buy a handcrafted beverage we'll give you a free pastry. Simply print or show the coupon on your mobile device. Be sure to get there early, it's only while supplies last."
"173","Free Pastry Day is back next Tuesday the 23rd! From open - 10:30am, buy any handcrafted beverage or drip coffee and receive a free pastry, while supplies last. Print or show the coupon on your mobile device."
"174","Our baristas wear green every day. Happy St. Patricks Day!"
"175","Italian Roast is one of our sweetest coffees. It was made for zipping around Rome in a scooter. If you can't get to Rome this week, that's ok. Get a taste of it in our stores. Hope you enjoy it!"
"176","So cool ... Jakob Dylan, Neko Case and Kelly Hogan stopped by to play some music for us today in our offices. It was amazing.
I snapped some video of it on my phone. Hope you enjoy it as much as we did. 
You'll be able to find their new album in our stores in early April."
"177","Sunday has only 23 hours today. This week's bold coffee is Yukon Blend, it will give you an extra hour. It's the anti-daylight savings time bold coffee."
"178","This is your last weekend to get a cup of Yukon Blend on your Bold Coffee Passport. It was made for a fisherman on a fishing vessel, but is great even if you're just sitting by a pool. 
Collect a stamp each of the next eight weeks ... we'll give you a pound of coffee for trying each of our Bold Coffees."
"179","Hey foursquare users! Be the envy of all your friends ...  earn the 'Barista Badge'!"
"180","For the next two months, we're featuring a new Bold Coffee in stores. This week our featured coffee is Yukon Blend.
It was created for the captain of a fishing
fleet who wanted to keep his crew happy in chilly sub-arctic seas, this
coffee will get you going in the most difficult of times. Even if that
difficult time is motivating yourself to get out and walk the dog."
"181","Backpacking is fun, but how do you get a great cup of coffee 40 miles into the back country? Starbucks VIA and water is all you need ... Backpacker Magazine picked Starbucks VIA in their Editors Choice 2010 awards. Have you taken it backpacking? Share a picture with us."
"182","Save the forest with your Latte next time. Introducing the new Conservation International Starbucks Card. This new Card is made with 80 percent post-industrial recycled materials. Each time you pay with your Conservation International Starbucks Card
(from 3/9 through 12/31/10) Starbucks will donate 5￠ to Conservation International to help save forests."
"183","We were all just gathered around the computer to watch this video, it's so great! Broken Bells is James Mercer from the Shins and Danger Mouse. They focused grouped it with these kids to get their reactions and see if it passed the test. Results? ... I don't want to give it away, see for yourself. You can find it in our stores next Tuesday."
"184","Through the Starbucks Shared Planet Youth Action Grants and our friends at HP, we're donating technology to three charities. Visit http://mystarbucksidea.com to vote for your favorite of the three charities!"
"185","We have a shiny new website and we're all very excited. It's so much easier to use and should give you what you're looking for, faster. My favorite part seems small, but it's one of the most asked for features, store hours are now listed. Take a peak!"
"186","Recently, Serious Eats came to Seattle to visit the original Starbucks in Pike Place Market and our new store on the corner of 1st and Pike. Take a look at what they saw. Have you been to the original Starbucks? What did you think?"
"187","One of our tea buyers recently returned from a trip to Eastern Africa to try new teas. He wrote about the amazing teas they found on our MyStarbucksIdea Blog. They also had a chance to stop by our Farmer Support Center in Kigali and teach our coffee team there a little bit about tea. Tell us, what is your favorite tea?"
"188","Starbucks Frappuccino is proud to be sponsoring the lounge at New York Fashion Week. They're fueling themselves with the the tasty Vanilla Frappuccino Light. #yumyum"
"189","We're really excited to announce this. Starting in March, stores in the US will be able to brew using the Pour Over method in the afternoon for decaf and bold coffee drinkers. Hear from our brewed coffee team on the http://www.mystarbucksidea.com blog."
"190","(STARBUCKS)RED is puckering up with Join (RED) for Valentines! Send a (RED) kiss to your friends – which one are you going for? http://f.joinred.com/vH3"
