"","類別名稱","申請日期","獎學金名稱","申請地點","附加檔案","獎學金金額","獎學金名額","申請對象","申請資格","繳交文件"
"11","法人暨私設","自107年3月9日起至107年3月26日止。","106-2『財團法人台北市艋舺龍山寺獎學金』","申請系統本校獎助學金申請系統","點選檔名時，會以開新視窗方式呈現專用申請書及名額表(pdf檔)","每名1萬元","本校共計56名","身障生、大學部、清寒、大一新生、原住民","1、僅限大學部學生，以清寒者優先。（大一新生可）2、106-1學業成績平均80分以上，操行乙等以上者。★據該寺特別告知，申請本獎學金前不得領取其他獎學金，並以未領取且清寒者優先！另，家境非清寒者亦可申請，但必須檢附齊全申請資料再作申請！","（一）該寺專用申請書（須加蓋私章）。<U+00A0>（二）106-1成績單正本、操行證明正本。<U+00A0>（三）全家人3個月內戶籍謄本正本。（四）政府低收入戶、中低收入戶者（持有本項者，可不用檢附第(五)項；如無此項證明者，請務必檢附第(五)項）！<U+00A0>（五）105年度全家人國稅局所得清單。<U+00A0><U+00A0>＊獎學金辦法、申請表格請至本頁上方附加檔案下載。"
"12","法人暨私設","自107年3月9日起至107年5月31日止。","107年度『財團法人中華開發工業銀行文教基金會「薪傳100X課輔100獎學金」』","逕寄掛號：10504台北市松山區南京東路5段125號7樓「中華開發工業銀行文教基金會」收(註明：申請獎助學金)","點選檔名時，會以開新視窗方式呈現辦法(pdf檔)","5萬","100","身障生、碩士生、博士生、大學部、一般生、清寒、原住民","請詳閱辦法或網站辦理申請：http://www.cdibf.org<U+00A0>","<U+00A0><U+00A0><U+00A0><U+00A0>"
"13","本校及公設","自107年3月13日起至107年3月28日止。","106-2澎湖縣清寒優秀學生獎學金","申請系統獎助學金申請系統","點選檔名時，會以開新視窗方式呈現獎學金發給要點(doc檔)專用申請書(xls檔)","大學部：4,000元；研究所：8,000元","大學部：40名；研究所：3名","碩士生、博士生、大學部、清寒","(一)凡本校設籍澎湖縣並居住六個月以上（戶籍為準）之大學部及研究所清寒優秀在學學生。(二)操行成績80分（甲）及學業成績80分。(三)家境確屬清寒者（以列入低收入戶有案者優先）。(四)一年級上學期新生及享有公費學生不得申請。","(一)專用申請書。(二)前學期成績單。(三)設籍澎湖縣之證明（戶口名簿影本或三個月內戶籍謄本正本）。(四)清寒證明。(五)操行成績證明正本(myntu列印)。"
"14","法人暨私設","自107年2月26日起至107年3月22日止。","106學年度『劉秀美女士獎學金』","申請系統本校獎助學金申請系統","點選檔名時，會以開新視窗方式呈現申請辦法(doc檔)校內用申請書(doc檔)","10000","1","身障生、大學部、清寒、原住民","（一）大學部2年級以上學生，家境清寒優先。（二）上學年學業成績80分以上，無懲處紀錄。★依設獎單位指示，由於本獎學金孳息不足，本學年度只給予1名，金額新臺幣1萬元！","（一）校內用申請書（二）歷年成績單正本、獎懲紀錄證明（三）清寒者請附清寒證明。<U+00A0>＊獎學金辦法、申請表格請至本頁上方附加檔案下載。"
"15","法人暨私設","自107年3月14日起至107年6月30日止。","106學年度『高菊媛女士獎學金』(請依各推薦單位截止日期辦理！)","其他須由相關單位推薦參加","點選檔名時，會以開新視窗方式呈現獎學金辦法(docx檔)","每名新台幣10萬元整。","每學年5名。","身障生、碩士生、博士生、大學部、一般生、清寒、大一新生、原住民、僑生","1、請詳閱本辦法及社會奉獻特別獎2、請務必按各推薦單位截止日辦理送件事宜。","<U+00A0>"
"16","法人暨私設","自107年3月19日起至107年4月9日止。","107年度『嘉女獅子會大學清寒獎助學金』","申請系統本校獎助學金申請系統","點選檔名時，會以開新視窗方式呈現申請書(pdf檔)辦法(pdf檔)","每名10,000元整","名額未定","身障生、大學部、清寒、大一新生、原住民","（一）設籍嘉義市6個月以上之大學日間部四年級以下學生。（二）上學期學業成績平均70分以上，操行成績70分以上者。（三）未申領同性質獎助學金，且未領有軍、公、教子女教育補助者。","（一）專用申請書。（二）106-1學期成績單正本、操行成績證明書（本組首頁線上申請下載彩色）。（三）3個月內戶籍謄本（記事）（四）住居所在地里長出具之清寒證明書（另附有政府核定之低收入戶證明者，優先考慮）。＊獎學金辦法、申請表格請至本頁上方附加檔案下載。<U+00A0>"
"17","法人暨私設","自107年3月19日起至107年4月9日止。","107年度『嘉女獅子會大學清寒獎助學金』","申請系統本校獎助學金申請系統","點選檔名時，會以開新視窗方式呈現申請書(pdf檔)辦法(pdf檔)","每名10,000元整","名額未定","身障生、大學部、清寒、大一新生、原住民","（一）設籍嘉義市6個月以上之大學日間部四年級以下學生。（二）上學期學業成績平均70分以上，操行成績70分以上者。（三）未申領同性質獎助學金，且未領有軍、公、教子女教育補助者。","（一）專用申請書。（二）106-1學期成績單正本、操行成績證明書（本組首頁線上申請下載彩色）。（三）3個月內戶籍謄本（記事）（四）住居所在地里長出具之清寒證明書（另附有政府核定之低收入戶證明者，優先考慮）。＊獎學金辦法、申請表格請至本頁上方附加檔案下載。<U+00A0>"
"18","法人暨私設","自107年3月5日起至107年3月31日止。","限定院系：106學年度生農學院3項獎助學金（請以系辦公告日期為準！）","系所請逕洽系辦申請，並以其公告日期為準。","目前無資料","-","-","身障生、碩士生、博士生、大學部、一般生、清寒、大一新生、原住民","1.生工系：「財團法人中興工程顧問設獎學金」1項2.生物機電系：「財團法人王榮圳文教基金會農業機械獎學金」1項3.生農學院：「錢思亮先生獎學金」1項。<U+00A0>","<U+00A0>"
"19","本校及公設","自107年3月20日起至107年5月31日止。","夏荊山社會創新培力獎學金","逕寄財團法人夏荊山文化藝術基金會","點選檔名時，會以開新視窗方式呈現作業要點(pdf檔)海報(jpg檔)","新臺幣16萬元","10名","碩士生","107學年碩一新生（不含博士班），就讀非營利事業相關研究所，或就讀其他研究所，但研究主題為非營利事業者。	獲獎人於獎助期間不得改變研究主題為非相關領域，每學期成績需達合格標準，不得保留學籍、休學或接受其他獎學金補助。	學位論文需註明獲夏荊山社會創新培力獎學金補助。	獎學金補助兩學年，每學期新臺幣四萬元。	相關申請事項，請逕洽基金會聯絡人	姜又榕小姐<U+00A0>02-8712-6838<U+00A0>轉17<U+00A0><U+00A0>jiang75407@gmail.com	官網：www.xjsacf.com","申請書。	在學證明或大學畢業證書影本。	研究所錄取通知影本或相關證明。	研究計畫提案。（800字為限）	能清楚表達研究動機、問題意識及研究方向。		計劃內容可與非營利議題結合或，並以社會創新方案。		因本獎學金與臺中市政府社會局合作，研究臺中市社會議題優先錄取。	"
"20","本校及公設","自107年2月9日起至107年3月26日止。","106學年度花蓮縣清寒優秀學生獎學金","申請系統","點選檔名時，會以開新視窗方式呈現申請書(docx檔)辦法(doc檔)","新臺幣6000元","","大學部","<U+00A0>（一）設籍花蓮縣六個月以上。（二）未享有公費待遇或未請領政府機關核發之獎學金。（三）持有低收入戶證明、中低收入戶證明或提供相關證明。（四）無懲處紀錄且在校成績符合下列標準：1、學業成績（或一般學科）平均八十分（甲等）以上。2、操行成績（或綜合表現）八十分（甲等）以上。但自九十五學年度起入學之國中小及九十七學年度起入學之高中職學生，不在此限。","<U+00A0>（一）申請書（如附件一）。（二）全戶戶口名簿影本或戶籍謄本（含詳細記事）。（三）低收入戶、中低收入戶、經稅捐機關開立之前一年度家戶所得財產清單證明書及其他相關證明。（四）前款規定之其他相關證明，若為清寒或導師證明，應另檢附經稅捐機關開立之前一年度家戶所得財產清單證明書。（五）學生證影本及前學年成績證明單(國小及高中職、大學校院1年級學生、國中7年級學生得繳送上學期成績證明單)。（六）操行成績證明（myntu列印）（七）獎懲紀錄證明（myntu列印）"
